Item;Cell Label;Cell value
2;;
3;;
4;EAST 1-A;227
5;EAST 1-B;160
6;EAST 1-C;94
7;EAST 1-D;32
8;EAST 1-E;0
9;EAST 1-F;0
10;EAST 1-X;250
11;EAST 2-A;223
12;EAST 2-B;163
13;EAST 2-C;99
14;EAST 2-D;40
15;EAST 2-E;0
16;EAST 2-F;0
17;EAST 2-X;0
18;SOUTH 1-A;257
19;SOUTH 1-B;185
20;SOUTH 1-C;127
21;SOUTH 1-D;58
22;SOUTH 1-E;0
23;SOUTH 1-F;0
24;SOUTH 1-X;0
25;SOUTH 2-A;256
26;SOUTH 2-B;194
27;SOUTH 2-C;130
28;SOUTH 2-D;66
29;SOUTH 2-E;0
30;SOUTH 2-F;0
31;SOUTH 2-X;0
32;WEST 1-A;230
33;WEST 1-B;168
34;WEST 1-C;103
35;WEST 1-D;40
36;WEST 1-E;0
37;WEST 1-F;0
38;WEST 1-X;250
39;WEST 2-A;226
40;WEST 2-B;160
41;WEST 2-C;96
42;WEST 2-D;32
43;WEST 2-E;0
44;WEST 2-F;0
45;WEST 2-X;0
46;NORTH 0-A;95
47;NORTH 0-B;126
48;NORTH 0-C;82
49;NORTH 0-D;82
50;NORTH 0-E;189
51;NORTH 0-F;189
52;NORTH 0-X;0
53;NORTH 1-A;253
54;NORTH 1-B;189
55;NORTH 1-C;118
56;NORTH 1-D;57
57;NORTH 1-E;0
58;NORTH 1-F;0
59;NORTH 1-X;0
